fish,exp_path,condition,Gene_TNF,Gene_CORO1A,Gene_IL2RA,Gene_ACTB,Gene_CD69,Gene_IRF8,Gene_GZMB,Gene_CCR7,Gene_IFNG,Gene_GBP4,Gene_TNF_2,Gene_XP01,delta_z_l_TNF,delta_z_l_CORO1A,delta_z_l_IL2RA,delta_z_l_ACTB,delta_z_l_CD69,delta_z_l_IRF8,delta_z_l_GZMB,delta_z_l_CCR7,delta_z_l_IFNG,delta_z_l_GBP4,delta_z_l_TNF_2,delta_z_l_XP01,delta_z_r_TNF,delta_z_r_CORO1A,delta_z_r_IL2RA,delta_z_r_ACTB,delta_z_r_CD69,delta_z_r_IRF8,delta_z_r_GZMB,delta_z_r_CCR7,delta_z_r_IFNG,delta_z_r_GBP4,delta_z_r_TNF_2,delta_z_r_XP01,Gene_CD8,delta_z_l_CD8,delta_z_r_CD8,Gene_CORO1A_2,delta_z_l_CORO1A_2,delta_z_r_CORO1A_2,Gene_SDch0,Gene_SDch1,Gene_GZMB_2,delta_z_l_SDch0,delta_z_l_SDch1,delta_z_l_GZMB_2,delta_z_r_SDch0,delta_z_r_SDch1,delta_z_r_GZMB_2
1075,2025-03-31_Proof-of-concept-Olga2/,3-24H,2.0,55.0,25.0,203.0,15.0,8.0,6.0,2.0,3.0,74.0,2.0,8.0,15.0,10.0,6.0,5.0,6.0,5.0,7.0,10.0,10.0,4.0,10.0,4.0,24.0,18.0,13.0,19.0,13.0,23.0,16.0,25.0,14.0,19.0,25.0,20.0,,,,,,,,,,,,,,,
1076,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,1.0,0.0,12.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,31.0,,10.0,7.0,,,,5.0,4.0,4.0,4.0,,8.0,,21.0,28.0,,,,34.0,35.0,35.0,35.0,,,,,,,,,,,,,,,
1077,2025-03-31_Proof-of-concept-Olga2/,3-24H,64.0,278.0,84.0,559.0,14.0,20.0,404.0,8.0,3.0,66.0,41.0,39.0,11.0,10.0,5.0,5.0,6.0,8.0,4.0,28.0,5.0,2.0,4.0,1.0,4.0,0.0,9.0,2.0,8.0,4.0,0.0,7.0,26.0,15.0,14.0,11.0,,,,,,,,,,,,,,,
1078,2025-03-31_Proof-of-concept-Olga2/,3-24H,5.0,67.0,34.0,195.0,24.0,31.0,9.0,21.0,0.0,48.0,11.0,20.0,14.0,10.0,6.0,6.0,6.0,6.0,10.0,21.0,,4.0,4.0,4.0,15.0,0.0,17.0,6.0,18.0,5.0,13.0,7.0,,8.0,8.0,25.0,,,,,,,,,,,,,,,
1079,2025-03-31_Proof-of-concept-Olga2/,3-24H,10.0,23.0,4.0,118.0,2.0,0.0,56.0,8.0,34.0,12.0,9.0,37.0,10.0,10.0,11.0,6.0,7.0,,12.0,26.0,13.0,5.0,5.0,3.0,11.0,10.0,15.0,12.0,31.0,,0.0,0.0,0.0,5.0,8.0,0.0,,,,,,,,,,,,,,,
1080,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,39.0,3.0,126.0,0.0,3.0,0.0,1.0,0.0,4.0,1.0,1.0,22.0,10.0,13.0,6.0,,7.0,,21.0,,12.0,20.0,5.0,17.0,15.0,22.0,14.0,,17.0,,18.0,,18.0,19.0,34.0,,,,,,,,,,,,,,,
1081,2025-03-31_Proof-of-concept-Olga2/,3-24H,53.0,91.0,37.0,266.0,40.0,1.0,3.0,0.0,0.0,47.0,34.0,4.0,10.0,9.0,6.0,6.0,6.0,14.0,9.0,,,5.0,4.0,7.0,15.0,15.0,17.0,14.0,18.0,25.0,27.0,,,22.0,25.0,27.0,,,,,,,,,,,,,,,
1082,2025-03-31_Proof-of-concept-Olga2/,3-24H,2.0,20.0,1.0,51.0,2.0,2.0,0.0,0.0,0.0,35.0,1.0,2.0,14.0,10.0,9.0,6.0,6.0,20.0,,,,5.0,14.0,12.0,20.0,9.0,30.0,12.0,25.0,17.0,,,,11.0,25.0,12.0,,,,,,,,,,,,,,,
1083,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,26.0,1.0,78.0,1.0,1.0,0.0,1.0,2.0,23.0,1.0,2.0,26.0,10.0,20.0,6.0,18.0,22.0,,21.0,5.0,5.0,21.0,14.0,13.0,3.0,19.0,3.0,21.0,17.0,,18.0,22.0,15.0,18.0,18.0,,,,,,,,,,,,,,,
1084,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.0,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
