fish,exp_path,condition,Gene_TNF,Gene_CORO1A,Gene_IL2RA,Gene_ACTB,Gene_CD69,Gene_IRF8,Gene_GZMB,Gene_CCR7,Gene_IFNG,Gene_GBP4,Gene_TNF_2,Gene_XP01,delta_z_l_TNF,delta_z_l_CORO1A,delta_z_l_IL2RA,delta_z_l_ACTB,delta_z_l_CD69,delta_z_l_IRF8,delta_z_l_GZMB,delta_z_l_CCR7,delta_z_l_IFNG,delta_z_l_GBP4,delta_z_l_TNF_2,delta_z_l_XP01,delta_z_r_TNF,delta_z_r_CORO1A,delta_z_r_IL2RA,delta_z_r_ACTB,delta_z_r_CD69,delta_z_r_IRF8,delta_z_r_GZMB,delta_z_r_CCR7,delta_z_r_IFNG,delta_z_r_GBP4,delta_z_r_TNF_2,delta_z_r_XP01,Gene_CD8,delta_z_l_CD8,delta_z_r_CD8,Gene_CORO1A_2,delta_z_l_CORO1A_2,delta_z_r_CORO1A_2,Gene_SDch0,Gene_SDch1,Gene_GZMB_2,delta_z_l_SDch0,delta_z_l_SDch1,delta_z_l_GZMB_2,delta_z_r_SDch0,delta_z_r_SDch1,delta_z_r_GZMB_2
24016,2025-03-04_Proof-of-concept-Olga/,4-24H-Nico,46.0,301.0,80.0,445.0,3.0,75.0,62.0,0.0,0.0,6.0,26.0,44.0,8.0,8.0,6.0,5.0,11.0,6.0,5.0,,,7.0,4.0,4.0,3.0,0.0,5.0,0.0,17.0,5.0,6.0,,,13.0,6.0,7.0,,,,,,,,,,,,,,,
24017,2025-03-04_Proof-of-concept-Olga/,4-24H-Nico,36.0,87.0,32.0,190.0,3.0,13.0,5.0,16.0,1.0,63.0,23.0,15.0,8.0,6.0,7.0,6.0,15.0,6.0,8.0,6.0,15.0,6.0,5.0,5.0,7.0,3.0,8.0,0.0,11.0,8.0,10.0,14.0,15.0,4.0,10.0,9.0,,,,,,,,,,,,,,,
24018,2025-03-04_Proof-of-concept-Olga/,4-24H-Nico,4.0,211.0,37.0,331.0,7.0,28.0,6.0,0.0,2.0,24.0,2.0,52.0,11.0,8.0,6.0,6.0,7.0,5.0,5.0,,5.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,,14.0,0.0,23.0,0.0,,,,,,,,,,,,,,,
24019,2025-03-04_Proof-of-concept-Olga/,4-24H-Nico,4.0,25.0,26.0,141.0,1.0,7.0,1.0,2.0,0.0,52.0,1.0,10.0,9.0,9.0,7.0,6.0,11.0,7.0,12.0,7.0,,6.0,9.0,6.0,17.0,6.0,4.0,0.0,19.0,6.0,18.0,7.0,,5.0,21.0,8.0,,,,,,,,,,,,,,,
1,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,18.0,,,,,,,,,,,24.0,14.0,,,,,,,,,,,14.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,18.0,,,,,,,,,,,17.0,14.0,,,,,,,,,,,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,16.0,,,,,,,,,,,21.0,14.0,,,,,,,,,,,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,30.0,,,,,,,,,,,23.0,15.0,,,,,,,,,,,16.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,22.0,,,,,,,,,,,,14.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,30.0,,,,,,,,,,,,13.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,20.0,,,,,,,,,,,,14.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,11.0,,,,,,,,,,,17.0,15.0,,,,,,,,,,,17.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,14.0,,,,,,,,,,,,15.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,24.0,,,,,,,,,,,22.0,14.0,,,,,,,,,,,17.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,15.0,,,,,,,,,,,30.0,13.0,,,,,,,,,,,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,12.0,,,,,,,,,,,18.0,14.0,,,,,,,,,,,18.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,12.0,,,,,,,,,,,18.0,15.0,,,,,,,,,,,17.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
14,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,23.0,,,,,,,,,,,18.0,13.0,,,,,,,,,,,21.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,2025-03-31_Proof-of-concept-Olga2/,1-NA,4.0,14.0,,,,,,,,,,,16.0,14.0,,,,,,,,,,,21.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,8.0,,,,,,,,,,,,15.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
17,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,19.0,,,,,,,,,,,19.0,13.0,,,,,,,,,,,17.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
18,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,14.0,,,,,,,,,,,26.0,14.0,,,,,,,,,,,13.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
19,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,23.0,,,,,,,,,,,,14.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,0.0,,,,,,,,,,,15.0,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2025-03-31_Proof-of-concept-Olga2/,1-NA,7.0,20.0,,,,,,,,,,,16.0,14.0,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
22,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,16.0,,,,,,,,,,,19.0,13.0,,,,,,,,,,,20.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
23,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,14.0,,,,,,,,,,,20.0,13.0,,,,,,,,,,,19.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
24,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,8.0,,,,,,,,,,,25.0,14.0,,,,,,,,,,,13.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
25,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,21.0,,,,,,,,,,,24.0,14.0,,,,,,,,,,,15.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
26,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,15.0,,,,,,,,,,,18.0,15.0,,,,,,,,,,,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
27,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,20.0,,,,,,,,,,,23.0,13.0,,,,,,,,,,,10.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
28,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,14.0,,,,,,,,,,,14.0,14.0,,,,,,,,,,,12.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
29,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,20.0,,,,,,,,,,,,14.0,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
30,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,16.0,,,,,,,,,,,23.0,13.0,,,,,,,,,,,14.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
31,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,6.0,,,,,,,,,,,,15.0,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
32,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,31.0,,,,,,,,,,,,13.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
33,2025-03-31_Proof-of-concept-Olga2/,1-NA,4.0,14.0,,,,,,,,,,,15.0,13.0,,,,,,,,,,,11.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,18.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,20.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
35,2025-03-31_Proof-of-concept-Olga2/,1-NA,4.0,13.0,,,,,,,,,,,16.0,16.0,,,,,,,,,,,11.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
36,2025-03-31_Proof-of-concept-Olga2/,1-NA,5.0,14.0,,,,,,,,,,,14.0,14.0,,,,,,,,,,,18.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,20.0,,,,,,,,,,,,14.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
38,2025-03-31_Proof-of-concept-Olga2/,1-NA,7.0,22.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,18.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
39,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,21.0,,,,,,,,,,,25.0,14.0,,,,,,,,,,,14.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
40,2025-03-31_Proof-of-concept-Olga2/,1-NA,5.0,13.0,,,,,,,,,,,13.0,14.0,,,,,,,,,,,15.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
41,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,26.0,,,,,,,,,,,30.0,16.0,,,,,,,,,,,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
42,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,97.0,,,,,,,,,,,15.0,13.0,,,,,,,,,,,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
43,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,16.0,,,,,,,,,,,27.0,14.0,,,,,,,,,,,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
44,2025-03-31_Proof-of-concept-Olga2/,1-NA,5.0,0.0,,,,,,,,,,,15.0,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,24.0,,,,,,,,,,,18.0,13.0,,,,,,,,,,,18.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
46,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,16.0,,,,,,,,,,,,13.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
47,2025-03-31_Proof-of-concept-Olga2/,1-NA,4.0,16.0,,,,,,,,,,,18.0,14.0,,,,,,,,,,,18.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
48,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,13.0,,,,,,,,,,,22.0,14.0,,,,,,,,,,,17.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
49,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,15.0,,,,,,,,,,,16.0,14.0,,,,,,,,,,,20.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
50,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,25.0,,,,,,,,,,,19.0,13.0,,,,,,,,,,,20.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
51,2025-03-31_Proof-of-concept-Olga2/,1-NA,12.0,20.0,,,,,,,,,,,14.0,14.0,,,,,,,,,,,15.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
52,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,19.0,,,,,,,,,,,17.0,15.0,,,,,,,,,,,19.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
53,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,9.0,,,,,,,,,,,17.0,13.0,,,,,,,,,,,22.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
54,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,23.0,,,,,,,,,,,14.0,13.0,,,,,,,,,,,15.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
55,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,11.0,,,,,,,,,,,19.0,14.0,,,,,,,,,,,20.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
56,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,9.0,,,,,,,,,,,17.0,13.0,,,,,,,,,,,22.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
57,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,18.0,,,,,,,,,,,16.0,14.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
58,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,27.0,,,,,,,,,,,29.0,13.0,,,,,,,,,,,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
59,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,14.0,,,,,,,,,,,18.0,15.0,,,,,,,,,,,19.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
60,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,8.0,,,,,,,,,,,16.0,14.0,,,,,,,,,,,23.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
61,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,15.0,,,,,,,,,,,,13.0,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
62,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,12.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,23.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
63,2025-03-31_Proof-of-concept-Olga2/,1-NA,46.0,15.0,,,,,,,,,,,14.0,14.0,,,,,,,,,,,15.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
64,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,20.0,,,,,,,,,,,17.0,14.0,,,,,,,,,,,22.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
65,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,23.0,,,,,,,,,,,16.0,14.0,,,,,,,,,,,15.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
66,2025-03-31_Proof-of-concept-Olga2/,1-NA,6.0,33.0,,,,,,,,,,,14.0,13.0,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
67,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,13.0,,,,,,,,,,,20.0,14.0,,,,,,,,,,,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
68,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,21.0,,,,,,,,,,,29.0,13.0,,,,,,,,,,,10.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
69,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,17.0,,,,,,,,,,,13.0,14.0,,,,,,,,,,,21.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
70,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,19.0,,,,,,,,,,,,14.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
71,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,14.0,,,,,,,,,,,17.0,13.0,,,,,,,,,,,18.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
72,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,15.0,,,,,,,,,,,15.0,13.0,,,,,,,,,,,24.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
73,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,18.0,,,,,,,,,,,19.0,13.0,,,,,,,,,,,20.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
74,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,11.0,,,,,,,,,,,16.0,14.0,,,,,,,,,,,22.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
75,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,18.0,,,,,,,,,,,18.0,14.0,,,,,,,,,,,21.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
76,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,19.0,,,,,,,,,,,,14.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
77,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,14.0,,,,,,,,,,,27.0,13.0,,,,,,,,,,,12.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
78,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,16.0,,,,,,,,,,,14.0,14.0,,,,,,,,,,,22.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
79,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,9.0,,,,,,,,,,,18.0,13.0,,,,,,,,,,,21.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
80,2025-03-31_Proof-of-concept-Olga2/,1-NA,9.0,11.0,,,,,,,,,,,17.0,15.0,,,,,,,,,,,11.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
81,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,23.0,,,,,,,,,,,16.0,14.0,,,,,,,,,,,17.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
82,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,15.0,,,,,,,,,,,17.0,13.0,,,,,,,,,,,18.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
83,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,8.0,,,,,,,,,,,17.0,14.0,,,,,,,,,,,16.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
84,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,9.0,,,,,,,,,,,18.0,16.0,,,,,,,,,,,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
85,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,21.0,,,,,,,,,,,16.0,14.0,,,,,,,,,,,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
86,2025-03-31_Proof-of-concept-Olga2/,1-NA,6.0,11.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,20.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
87,2025-03-31_Proof-of-concept-Olga2/,1-NA,5.0,14.0,,,,,,,,,,,15.0,14.0,,,,,,,,,,,20.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
88,2025-03-31_Proof-of-concept-Olga2/,1-NA,7.0,22.0,,,,,,,,,,,13.0,13.0,,,,,,,,,,,13.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
89,2025-03-31_Proof-of-concept-Olga2/,1-NA,4.0,20.0,,,,,,,,,,,18.0,14.0,,,,,,,,,,,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
90,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,24.0,,,,,,,,,,,,13.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
91,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,25.0,,,,,,,,,,,19.0,13.0,,,,,,,,,,,20.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
92,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,16.0,,,,,,,,,,,21.0,14.0,,,,,,,,,,,16.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
93,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,21.0,,,,,,,,,,,14.0,15.0,,,,,,,,,,,25.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
94,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,17.0,,,,,,,,,,,26.0,14.0,,,,,,,,,,,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
95,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,9.0,,,,,,,,,,,36.0,14.0,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
96,2025-03-31_Proof-of-concept-Olga2/,1-NA,5.0,16.0,,,,,,,,,,,14.0,13.0,,,,,,,,,,,17.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
97,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,16.0,,,,,,,,,,,15.0,13.0,,,,,,,,,,,22.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
98,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,21.0,,,,,,,,,,,14.0,14.0,,,,,,,,,,,17.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
99,2025-03-31_Proof-of-concept-Olga2/,1-NA,5.0,22.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
100,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,15.0,,,,,,,,,,,18.0,14.0,,,,,,,,,,,21.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
101,2025-03-31_Proof-of-concept-Olga2/,1-NA,10.0,14.0,,,,,,,,,,,15.0,13.0,,,,,,,,,,,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
102,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,25.0,,,,,,,,,,,14.0,13.0,,,,,,,,,,,20.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
103,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,12.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,23.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
104,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,16.0,,,,,,,,,,,,13.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
105,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,17.0,,,,,,,,,,,15.0,14.0,,,,,,,,,,,23.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
106,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,20.0,,,,,,,,,,,14.0,14.0,,,,,,,,,,,18.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
107,2025-03-31_Proof-of-concept-Olga2/,1-NA,6.0,16.0,,,,,,,,,,,13.0,13.0,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
108,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,8.0,,,,,,,,,,,15.0,14.0,,,,,,,,,,,20.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
109,2025-03-31_Proof-of-concept-Olga2/,1-NA,4.0,25.0,,,,,,,,,,,14.0,14.0,,,,,,,,,,,12.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
110,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,13.0,,,,,,,,,,,,14.0,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
111,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,14.0,,,,,,,,,,,,13.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
112,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,18.0,,,,,,,,,,,14.0,14.0,,,,,,,,,,,25.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
113,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,5.0,,,,,,,,,,,14.0,14.0,,,,,,,,,,,20.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
1001,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,25.0,,,,,,,,,,,21.0,14.0,,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
1002,2025-03-31_Proof-of-concept-Olga2/,1-NA,7.0,4.0,,,,,,,,,,,15.0,23.0,,,,,,,,,,,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
1003,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,17.0,,,,,,,,,,,,14.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
1004,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,13.0,,,,,,,,,,,,13.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1005,2025-03-31_Proof-of-concept-Olga2/,1-NA,4.0,26.0,,,,,,,,,,,18.0,14.0,,,,,,,,,,,17.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1006,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,1.0,,,,,,,,,,,,27.0,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
1007,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,7.0,,,,,,,,,,,,19.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
1009,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,14.0,,,,,,,,,,,34.0,16.0,,,,,,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1010,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,10.0,,,,,,,,,,,17.0,14.0,,,,,,,,,,,13.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1011,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,12.0,,,,,,,,,,,17.0,14.0,,,,,,,,,,,22.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1012,2025-03-31_Proof-of-concept-Olga2/,1-NA,60.0,37.0,,,,,,,,,,,14.0,14.0,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
1013,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,23.0,,,,,,,,,,,21.0,13.0,,,,,,,,,,,13.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
1014,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,23.0,,,,,,,,,,,,13.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
1015,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,16.0,,,,,,,,,,,21.0,13.0,,,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1016,2025-03-31_Proof-of-concept-Olga2/,1-NA,5.0,1.0,,,,,,,,,,,15.0,39.0,,,,,,,,,,,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1017,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,21.0,,,,,,,,,,,17.0,13.0,,,,,,,,,,,21.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1018,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,8.0,,,,,,,,,,,,14.0,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
